prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,email,emailed_on,replied,bounced,notes
RADAR-NEXT20-015,Andesa Services Inc.,"Allentown, Pennsylvania",,Lehigh County,consulting,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-007,Devon Veterinary Hospital,"Chester County, Pennsylvania",,Chester County,veterinary,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-017,"Dittmer & Company, P.C.","Kennett Square, Pennsylvania",,Chester County,accountant,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-012,Fellini Cafe,"Bryn Mawr, Pennsylvania",,Montgomery County,restaurant,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-016,Finesse Flooring,"Green Lane, Pennsylvania",,Montgomery County,flooring,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-005,Forte Salon,"Bethlehem, Pennsylvania",,Lehigh County,hairdresser,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-004,Hi Pot,"Pottstown, Pennsylvania",,Montgomery County,restaurant,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-019,High Swartz,"Norristown, Pennsylvania",,Montgomery County,lawyer,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-014,Hope's Cookies,"Montgomery County, Pennsylvania",,Montgomery County,confectionery,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-011,Main Street Cafe,"Norristown, Pennsylvania",,Montgomery County,restaurant,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-018,Mankind's HeadQuarters,"Media, Pennsylvania",,Delaware County,hairdresser,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-002,"marvin e. kanze, inc.","Havertown, Pennsylvania",,Delaware County,hvac,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-008,McSurdy Orthodontics: The Smile Specialists,"Gilbertsville, Pennsylvania",,Montgomery County,dentist,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-001,Meetinghouse Dental Care,"Hatboro, Pennsylvania",,Montgomery County,dentist,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-010,Patt Veterinary Hospital,"Gilbertsville, Pennsylvania",,Montgomery County,veterinary,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-009,Penn Animal Hospital,"West Grove, Pennsylvania",,Chester County,veterinary,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-006,Philly AIDS Thrift @ Giovanni's Room,"Philadelphia, Pennsylvania",,Philadelphia,books,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-013,The Pullman Restaurant and Bar,"Bryn Mawr, Pennsylvania",,Montgomery County,restaurant,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-003,Wagner Group @ COMPASS,"Havertown, Pennsylvania",,Delaware County,estate-agent,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-020,Yudizza Spa,"Philadelphia, Pennsylvania",,Philadelphia,beauty,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
