prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,notes
PHL001,Always Dental Care,"1570 Egypt Rd #210, Phoenixville, PA 19460",484.392.7687,"Philadelphia, PA",Health,https://phl-2026-w34.netlify.app/sites/always-dental-care/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL001,ready,hold,,,,,
PHL002,Auger Manufacturing Specialists,"22A Bacton Hill Rd, Frazer, Pennsylvania 19355",1-610-647-4677,"Philadelphia, PA",Industrial,https://phl-2026-w34.netlify.app/sites/auger-manufacturing/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL002,ready,hold,,,,,
PHL003,Barnes Financial Group,,,"Philadelphia, PA",Professional Services,https://phl-2026-w34.netlify.app/sites/barnes-financial-group/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL003,hold,hold,,,,,
PHL004,Be Balanced Hormone Weight Loss Centers,"519 Main Street, Royersford, PA 19468",,"Philadelphia, PA",Health,https://phl-2026-w34.netlify.app/sites/be-balanced-hormone/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL004,ready,hold,,,,,
PHL005,BG Electric Service LLC,,,"Philadelphia, PA",Home Services,https://phl-2026-w34.netlify.app/sites/bg-electric/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL005,hold,hold,,,,,
PHL006,BPM Fitness,,,"Philadelphia, PA",Spas & Wellness,https://phl-2026-w34.netlify.app/sites/bpm-fitness/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL006,hold,hold,,,,,
PHL007,Chestnut Hill Animal Hospital,"903 Bethlehem Pike, Erdenheim, PA 19038",215-836-2950,"Philadelphia, PA",Health,https://phl-2026-w34.netlify.app/sites/chestnut-hill-animal-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL007,ready,hold,,,,,
PHL008,Colmar Dentistry For Kids,"671 Bethlehem Pike, Montgomeryville, PA 18936",,"Philadelphia, PA",Health,https://phl-2026-w34.netlify.app/sites/colmar-dentistry-for-kids/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL008,ready,hold,,,,,
PHL009,County Line Veterinary Hospital,"325 West County Line Road, Hatboro, PA 19040",(215) 675-0533,"Philadelphia, PA",Health,https://phl-2026-w34.netlify.app/sites/county-line-veterinary-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL009,ready,hold,,,,,
PHL010,DreamMaker Bath & Kitchen,,,"Philadelphia, PA",Home Services,https://phl-2026-w34.netlify.app/sites/dreammaker-bath-kitchen/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL010,hold,hold,,,,,
PHL011,Easy Auto Tag & Insurance,,,"Philadelphia, PA",Professional Services,https://phl-2026-w34.netlify.app/sites/easy-auto-tag-insurance/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w34&utm_content=PHL011,hold,hold,,,,,
