prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,notes
PHL001,Accurate Temperature,"810 Rennard Lane, Morrisville, PA 19067",215-917-2115,"Philadelphia, PA",home-services,https://phl-2026-w36.netlify.app/sites/accurate-temperature/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL001,ready,hold,,,,,
PHL002,Always Dental Care,"1570 Egypt Rd #210, Phoenixville, PA 19460",484-392-7687,"Philadelphia, PA",healthcare,https://phl-2026-w36.netlify.app/sites/always-dental-care/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL002,ready,hold,,,,,
PHL003,Andorra Family Dentistry,"8919 Ridge Ave., Suite 9, Philadelphia, PA 19128",215-515-5710,"Philadelphia, PA",healthcare,https://phl-2026-w36.netlify.app/sites/andorra-family-dentistry/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL003,ready,hold,,,,,
PHL004,August Moon,"300 East Main Street, Norristown, PA 19401",610-277-4008,"Philadelphia, PA",food,https://phl-2026-w36.netlify.app/sites/august-moon/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL004,ready,hold,,,,,
PHL005,Bar 31,"31 N Main St, Ambler, PA 19002",215-646-0440,"Philadelphia, PA",nightlife,https://phl-2026-w36.netlify.app/sites/bar-31/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL005,ready,hold,,,,,
PHL006,Bei Jing Chinese Food,"130 E Marshall St, Norristown, PA 19401",610-275-4086,"Philadelphia, PA",food,https://phl-2026-w36.netlify.app/sites/beijing-chinese-food/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL006,ready,hold,,,,,
PHL007,Belle Palace Nail Spa,"1509 Main St, Warrington, PA 18976",215-798-7777,"Philadelphia, PA",beauty,https://phl-2026-w36.netlify.app/sites/belle-palace-nail-spa/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL007,ready,hold,,,,,
PHL008,Dutton Road Veterinary Clinic,"10901 Dutton Road (Rear Entrance), Philadelphia, PA 19154",215-331-2968,"Philadelphia, PA",veterinary,https://phl-2026-w36.netlify.app/sites/dutton-road-vet/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL008,ready,hold,,,,,
PHL009,Eastern Dragon,"830 Upper State Rd, North Wales, PA 19454",215-855-0366,"Philadelphia, PA",food,https://phl-2026-w36.netlify.app/sites/eastern-dragon/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL009,ready,hold,,,,,
PHL010,First Class Auto Land,"4050 Frankford Ave, Philadelphia, PA 19124",215-533-5181,"Philadelphia, PA",auto,https://phl-2026-w36.netlify.app/sites/first-class-auto-land/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL010,ready,hold,,,,,
PHL011,Francis Kaufman House,"3164 Main Street #63, Sumneytown, PA 18084",215-234-2499,"Philadelphia, PA",food,https://phl-2026-w36.netlify.app/sites/francis-kaufman-house/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL011,ready,hold,,,,,
PHL012,Gallo Insurance Agency,"143 Macdade Blvd, Folsom, PA 19033",610-237-1500,"Philadelphia, PA",insurance,https://phl-2026-w36.netlify.app/sites/gallo-insurance/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL012,ready,hold,,,,,
PHL013,Glocker Realty & Insurance,"900 E. Philadelphia Ave, Boyertown, PA 19512",610-367-2058,"Philadelphia, PA",real-estate,https://phl-2026-w36.netlify.app/sites/glocker-realtors/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL013,ready,hold,,,,,
PHL014,Heart and Soul Tattoo,"205 Main Street, East Greenville, PA 18041",215-679-3775,"Philadelphia, PA",tattoo,https://phl-2026-w36.netlify.app/sites/heart-and-soul-tattoo/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL014,ready,hold,,,,,
PHL015,Johnny Destructo's Hero Complex,"4327 Main Street, Philadelphia, PA 19127",215-482-7700,"Philadelphia, PA",retail,https://phl-2026-w36.netlify.app/sites/hero-complex/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL015,ready,hold,,,,,
PHL016,Highline Motors,"469 Conchester Hwy, Aston, PA 19014",610-753-4536,"Philadelphia, PA",auto,https://phl-2026-w36.netlify.app/sites/highline-motors/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL016,ready,hold,,,,,
PHL017,"Kevin T. Coyne, Esq.","12 Veterans Square, 1st Floor, Media, PA 19063",610-833-2300,"Philadelphia, PA",legal,https://phl-2026-w36.netlify.app/sites/kevin-t-coyne/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL017,ready,hold,,,,,
PHL018,Kinetic Physical Therapy,"241 Plaza Drive, Collegeville, PA 19426",610-424-1100,"Philadelphia, PA",healthcare,https://phl-2026-w36.netlify.app/sites/kinetic-physical-therapy/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL018,ready,hold,,,,,
PHL019,Mack's Hair Studio,"271 S 10th St, Philadelphia, PA 19107",,"Philadelphia, PA",beauty,https://phl-2026-w36.netlify.app/sites/macks-hair-studio/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL019,ready,hold,,,,,
PHL020,Malvern Vision Care,"32 W King St, Malvern, PA 19355",610-644-1879,"Philadelphia, PA",healthcare,https://phl-2026-w36.netlify.app/sites/malvern-vision/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w36&utm_content=PHL020,ready,hold,,,,,
