prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,email,emailed_on,replied,bounced,notes
RADAR-NEXT20-018,8 Cylinders Auto Repair Philadelphia,"Philadelphia, Pennsylvania",,Philadelphia,car-repair,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-001,Anthony & Sylvan Pool Supplies,"Doylestown, Pennsylvania",,Bucks County,swimming-pool,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-014,Chester County Carpet & Flooring,"West Chester, Pennsylvania",,Delaware County,floorer,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-008,Impriano Roofing & Siding,"Broomall, Pennsylvania",,Delaware County,roofer,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-004,Infratek Solutions Inc,"New Hope, Pennsylvania",,Bucks County,engineer,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-017,Kauffman Metals,"Bedford County, Pennsylvania",,Bedford County,metal-construction,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-006,KC's Alley,"Ambler, Pennsylvania",,Montgomery County,pub,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-010,Mondo Contract Flooring,"Malvern, Pennsylvania",,Chester County,flooring,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-011,"National Real Estate Development, LLC","Philadelphia, Pennsylvania",,Philadelphia,estate-agent,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-002,Nemours Childrens Health,"Paoli, Pennsylvania",,Chester County,doctor,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-012,Oaks Nail Spa,"Phoenixville, Pennsylvania",,Montgomery County,beauty,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-013,Occasions Boutique,"Chester County, Pennsylvania",,Chester County,clothes,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-003,Passion Day Spa,"Quakertown, Pennsylvania",,Bucks County,massage,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-005,Polka Dots,"Paoli, Pennsylvania",,Chester County,clothes,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-009,Providence Spa & Nails,"Collegeville, Pennsylvania",,Montgomery County,beauty,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-007,Suburban AutoWorks,"Doylestown, Pennsylvania",,Bucks County,car-repair,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-019,Temple Health Northeastern Campus,"Philadelphia, Pennsylvania",,Philadelphia,clinic,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-015,The Salon Professional Academy Collegeville,"Collegeville, Pennsylvania",,Montgomery County,hairdresser,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-020,VP Nails,"Pottstown, Pennsylvania",,Montgomery County,beauty,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-016,"Zommick McMahon Commercial Real Estate, Inc.","West Chester, Pennsylvania",,Chester County,estate-agent,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
